aperio_slide,frame_id,x,y,tissue_frac,reg_ok,ecc_score,lab_L,lab_a,lab_b,lab_total,ssim,psnr,mae
A13,00C,1027,864,0.783,True,0.94556,10.05777,3.95509,12.77931,26.79217,0.69473,20.15489,19.27447
A13,00D,0,0,0.729,True,0.95298,10.55119,4.49005,11.16077,26.20201,0.69414,19.88243,19.58605
A13,00D,512,0,0.705,True,0.95298,10.1037,4.57509,11.08603,25.76482,0.64244,19.29607,20.82051
A13,00D,1024,0,0.734,True,0.95298,10.53203,5.60491,11.37077,27.50771,0.54816,19.6769,20.48716
A13,00D,1027,0,0.734,True,0.95298,10.57856,5.63312,11.36857,27.58024,0.54515,19.66421,20.51248
A13,00D,0,512,0.706,True,0.95298,10.33217,4.03431,11.02552,25.39199,0.72638,19.54071,19.52272
A13,00D,512,512,0.724,True,0.95298,10.05527,4.58721,11.59799,26.24047,0.6023,18.82941,21.84331
A13,00D,1024,512,0.711,True,0.95298,9.539,4.3728,10.72997,24.64176,0.66776,20.33521,18.78412
A13,00D,1027,512,0.712,True,0.95298,9.61728,4.3973,10.7564,24.77098,0.66522,20.33416,18.79211
A13,00D,0,864,0.709,True,0.95298,10.52312,3.81209,11.16356,25.49876,0.72278,18.79036,20.50583
A13,00D,512,864,0.728,True,0.95298,9.91906,4.38287,11.88492,26.18685,0.61413,18.63082,22.28516
A13,00D,1024,864,0.744,True,0.95298,9.3708,4.36602,11.71191,25.44872,0.61468,19.0694,21.44449
A13,00D,1027,864,0.746,True,0.95298,9.29981,4.33788,11.73765,25.37534,0.61195,19.04891,21.50258
A13,01A,0,0,0.759,True,0.95726,9.39929,3.97456,12.49982,25.87367,0.65118,18.80538,21.14238
A13,01A,512,0,0.788,True,0.95726,9.83824,4.53012,12.58711,26.95547,0.65813,20.16101,19.63842
A13,01A,1024,0,0.794,True,0.95726,10.44852,3.9817,12.46879,26.89901,0.66125,19.77603,19.95314
A13,01A,1027,0,0.794,True,0.95726,11.2556,3.77677,12.34485,27.37723,0.65718,18.83758,20.78272
A13,01A,0,512,0.784,True,0.95726,9.43244,3.97164,13.16397,26.56804,0.65863,19.33135,20.20206
A13,01A,512,512,0.746,True,0.95726,9.71152,3.99566,12.5075,26.21468,0.73283,20.51985,18.5713
A13,01A,1024,512,0.805,True,0.95726,9.75209,4.20285,12.84174,26.79669,0.67867,20.52251,18.90143
A13,01A,1027,512,0.806,True,0.95726,10.20362,4.02599,12.73787,26.96748,0.67624,19.8761,19.43098
A13,01A,0,864,0.773,True,0.95726,11.38468,3.59641,12.78664,27.76772,0.64105,17.13166,22.87094
A13,01A,512,864,0.801,True,0.95726,12.03563,3.76731,12.84552,28.64847,0.71807,17.78807,21.64576
A13,01A,1024,864,0.798,True,0.95726,12.58667,3.65869,12.35737,28.60273,0.67411,17.66822,21.73128
A13,01A,1027,864,0.797,True,0.95726,12.82044,3.66134,12.31086,28.79265,0.67282,17.50057,21.97008
A13,01B,0,0,0.73,True,0.94689,9.82788,4.3892,11.38267,25.59976,0.67165,19.63508,20.55369
A13,01B,512,0,0.708,True,0.94689,9.79579,4.64956,11.04976,25.49511,0.61879,18.4168,22.85275
A13,01B,1024,0,0.635,True,0.94689,9.96757,4.31707,9.2097,23.49433,0.66278,19.09958,21.21541
A13,01B,1027,0,0.635,True,0.94689,10.24551,4.22842,9.13766,23.61158,0.66143,18.6326,21.67227
A13,01B,0,512,0.768,True,0.94689,10.22484,4.42888,12.32151,26.97522,0.64232,19.52542,20.8551
A13,01B,512,512,0.731,True,0.94689,9.88343,4.23458,11.80149,25.9195,0.64499,19.06516,21.25649
A13,01B,1024,512,0.7,True,0.94689,9.48934,4.34534,10.55017,24.38485,0.6563,19.44247,20.58161
A13,01B,1027,512,0.7,True,0.94689,9.60644,4.37329,10.55344,24.53317,0.65515,19.42769,20.60914
A13,01B,0,864,0.773,True,0.94689,13.71125,4.12492,12.14982,29.98599,0.65054,16.59985,23.64987
A13,01B,512,864,0.77,True,0.94689,13.67308,3.90113,12.02055,29.59476,0.59515,15.84,26.80501
A13,01B,1024,864,0.75,True,0.94689,15.01812,4.00794,11.02815,30.05421,0.6443,15.52003,25.79522
A13,01B,1027,864,0.749,True,0.94689,15.10435,4.01463,11.01303,30.132,0.64358,15.52802,25.7859
A13,01C,0,0,0.756,True,0.94924,9.61816,3.50688,13.07707,26.20211,0.65224,18.09274,22.24649
A13,01C,512,0,0.773,True,0.94924,8.9748,3.97754,13.02109,25.97342,0.72553,20.25975,19.1591
A13,01C,1024,0,0.807,True,0.94924,9.12996,3.74104,13.10973,25.98072,0.67922,20.46354,18.95099
A13,01C,1027,0,0.806,True,0.94924,9.19726,3.71969,13.09199,26.00894,0.67868,20.46069,18.95275
A13,01C,0,512,0.778,True,0.94924,9.4663,3.64865,13.27573,26.39068,0.6033,16.84968,25.5306
A13,01C,512,512,0.78,True,0.94924,8.60466,3.9938,13.37575,25.97421,0.70298,19.58003,20.60907
A13,01C,1024,512,0.789,True,0.94924,8.70849,3.76712,12.89834,25.37395,0.68797,19.69182,20.55936
A13,01C,1027,512,0.789,True,0.94924,8.63571,3.77329,12.89023,25.29923,0.68658,19.66451,20.61678
A13,01C,0,864,0.753,True,0.94924,9.49141,3.54575,12.84409,25.88125,0.61368,16.47506,25.49857
A13,01C,512,864,0.782,True,0.94924,8.64639,3.89978,13.27007,25.81623,0.70315,19.39858,20.76166
A13,01C,1024,864,0.801,True,0.94924,9.26161,3.46247,13.11463,25.83872,0.68576,19.08393,20.87891
A13,01C,1027,864,0.801,True,0.94924,9.28597,3.45343,13.10223,25.84164,0.68503,19.06619,20.91201
A13,01D,0,0,0.786,True,0.95373,10.31497,3.92205,13.07338,27.3104,0.67903,19.46144,20.49374
A13,01D,512,0,0.792,True,0.95373,9.61985,4.33107,13.17611,27.12703,0.58748,18.44638,23.22977
A13,01D,1024,0,0.721,True,0.95373,9.32145,4.25318,11.41536,24.98999,0.65984,19.17702,21.25474
A13,01D,1027,0,0.719,True,0.95373,9.38825,4.26171,11.40134,25.0513,0.6593,19.18061,21.244
A13,01D,0,512,0.77,True,0.95373,10.27464,3.72513,12.62103,26.6208,0.69707,18.79887,21.38579
A13,01D,512,512,0.739,True,0.95373,9.19698,4.12463,12.25526,25.57687,0.60901,18.60951,22.23463
A13,01D,1024,512,0.704,True,0.95373,9.19632,3.97519,11.00025,24.17177,0.66405,19.48369,20.51093
A13,01D,1027,512,0.704,True,0.95373,9.21095,4.00016,10.98811,24.19922,0.66253,19.44996,20.57276
A13,01D,0,864,0.792,True,0.95373,12.32008,3.86933,12.34302,28.53244,0.66365,17.62173,22.44235
A13,01D,512,864,0.729,True,0.95373,11.4896,3.92282,11.62487,27.03729,0.63024,17.23296,23.23948
A13,01D,1024,864,0.711,True,0.95373,11.43104,3.54447,10.51877,25.49428,0.66769,17.44154,22.9093
A13,01D,1027,864,0.71,True,0.95373,11.57349,3.5617,10.50423,25.63941,0.66737,17.42809,22.92449
A13,02A,0,0,0.828,True,0.98366,10.07943,5.09241,13.29141,28.46325,0.83669,22.64706,15.44899
A13,02A,512,0,0.816,True,0.98366,9.73096,4.33343,13.18734,27.25173,0.76547,21.61952,17.04845
A13,02A,1024,0,0.803,True,0.98366,10.55355,3.92164,13.1339,27.60909,0.74988,20.17377,18.11146
A13,02A,1027,0,0.803,True,0.98366,11.33632,3.89315,13.01521,28.24468,0.74568,19.22969,18.88434
A13,02A,0,512,0.832,True,0.98366,9.67389,4.75667,13.38503,27.81559,0.84926,22.31828,15.77705
A13,02A,512,512,0.832,True,0.98366,9.57897,4.17044,13.40376,27.15317,0.7421,21.38445,17.51585
A13,02A,1024,512,0.825,True,0.98366,9.93034,4.09283,13.4711,27.49427,0.73702,21.01479,17.65986
A13,02A,1027,512,0.825,True,0.98366,10.61876,3.98938,13.33517,27.9433,0.73313,19.9279,18.42914
A13,02A,0,864,0.809,True,0.98366,10.34242,4.31936,12.88276,27.54453,0.83941,21.4117,16.2057
A13,02A,512,864,0.826,True,0.98366,9.59525,3.91621,13.44022,26.95168,0.74486,21.45786,17.30269
A13,02A,1024,864,0.824,True,0.98366,10.02916,3.883,13.60431,27.51647,0.73249,20.44768,18.34289
A13,02A,1027,864,0.825,True,0.98366,10.466,3.83227,13.49752,27.79579,0.7296,19.81822,18.87413
A13,02B,0,0,0.801,True,0.98209,9.71527,4.08916,13.57131,27.37574,0.76787,20.85376,17.85187
A13,02B,512,0,0.762,True,0.98209,9.55461,3.76124,12.92207,26.23792,0.79106,21.34954,17.19105
A13,02B,1024,0,0.793,True,0.98209,9.30874,3.50442,12.85718,25.67034,0.75249,20.4793,18.48523
A13,02B,1027,0,0.794,True,0.98209,10.11572,3.41027,12.74037,26.26635,0.74862,19.53871,19.23391
A13,02B,0,512,0.836,True,0.98209,10.27611,4.13513,14.33662,28.74786,0.79201,20.85158,17.57216
A13,02B,512,512,0.764,True,0.98209,9.40972,3.71168,13.09843,26.21983,0.79205,21.39801,17.13658
A13,02B,1024,512,0.819,True,0.98209,9.08949,3.68853,13.54776,26.32578,0.73391,21.00685,18.02879
A13,02B,1027,512,0.818,True,0.98209,9.55681,3.53994,13.45958,26.55633,0.73157,20.39485,18.47744
A13,02B,0,864,0.827,True,0.98209,11.32245,3.83847,14.0245,29.18543,0.77739,18.72714,19.91679
A13,02B,512,864,0.802,True,0.98209,10.27092,3.44298,13.41967,27.13357,0.77163,19.47855,19.39166
A13,02B,1024,864,0.797,True,0.98209,10.625,3.28859,12.93469,26.84828,0.74189,18.78165,19.84109
A13,02B,1027,864,0.797,True,0.98209,10.85629,3.25713,12.94898,27.0624,0.74121,18.71174,19.92569
A13,02C,0,0,0.794,True,0.98618,11.77867,4.15334,12.13111,28.06312,0.80484,19.52525,17.32112
A13,02C,512,0,0.821,True,0.98618,9.5013,3.80566,13.36926,26.67622,0.72643,20.93112,17.89618
A13,02C,1024,0,0.77,True,0.98618,8.91406,3.84658,12.80357,25.56421,0.7567,20.62564,18.37145
A13,02C,1027,0,0.771,True,0.98618,8.95136,3.82642,12.81128,25.58906,0.75508,20.52882,18.4702
A13,02C,0,512,0.811,True,0.98618,11.83324,4.06157,12.79608,28.6909,0.83314,19.49498,17.52868
A13,02C,512,512,0.799,True,0.98618,9.34026,3.42896,13.14572,25.91493,0.76351,21.04036,17.88211
A13,02C,1024,512,0.786,True,0.98618,8.85448,3.73995,13.00568,25.60011,0.77493,21.20453,17.27287
A13,02C,1027,512,0.786,True,0.98618,8.89657,3.74354,13.00593,25.64603,0.774,21.18064,17.30058
A13,02C,0,864,0.76,True,0.98618,11.95462,3.75983,12.15085,27.86529,0.84069,18.71475,18.09374
A13,02C,512,864,0.761,True,0.98618,9.12634,3.48045,12.62309,25.22988,0.79888,21.16671,17.54987
A13,02C,1024,864,0.753,True,0.98618,8.49581,3.62185,12.49504,24.6127,0.79796,21.13453,17.1179
A13,02C,1027,864,0.752,True,0.98618,8.62362,3.63063,12.49986,24.75411,0.79713,21.11584,17.13812
A13,02D,0,0,0.805,True,0.98168,10.64852,3.59935,13.81639,28.06426,0.7838,19.29754,19.03751
A13,02D,512,0,0.832,True,0.98168,8.98548,3.74994,14.34085,27.07628,0.7604,20.74567,18.4311
A13,02D,1024,0,0.809,True,0.98168,8.49931,3.5122,13.56499,25.5765,0.75139,20.65456,18.54743
A13,02D,1027,0,0.809,True,0.98168,8.55602,3.51811,13.56566,25.6398,0.75129,20.65283,18.55066
A13,02D,0,512,0.813,True,0.98168,11.04053,3.60729,14.03991,28.68773,0.79245,18.62289,19.41186
A13,02D,512,512,0.858,True,0.98168,9.01048,4.08619,14.93902,28.03569,0.77524,21.49293,17.33576
A13,02D,1024,512,0.774,True,0.98168,8.41944,3.49855,12.93617,24.85415,0.76588,20.83324,18.02531
A13,02D,1027,512,0.774,True,0.98168,8.34905,3.49798,12.9325,24.77952,0.76588,20.83563,18.01816
A13,02D,0,864,0.811,True,0.98168,11.25636,3.55791,13.80053,28.6148,0.78622,18.15472,20.35393
A13,02D,512,864,0.822,True,0.98168,8.90307,3.82983,14.39671,27.12962,0.78337,21.28332,17.41253
A13,02D,1024,864,0.783,True,0.98168,8.21725,3.54336,13.17414,24.93476,0.77961,20.80569,18.1154
A13,02D,1027,864,0.782,True,0.98168,8.23845,3.5588,13.1773,24.97455,0.77969,20.80572,18.11234
A13,03A,0,0,0.791,True,0.95852,8.46124,3.7206,13.75104,25.93288,0.66466,18.57022,21.62619
A13,03A,512,0,0.838,True,0.95852,9.24663,3.81036,14.5094,27.5664,0.69374,20.05348,19.56575
A13,03A,1024,0,0.805,True,0.95852,8.68385,3.24168,13.37284,25.29837,0.71626,19.45036,20.30271
A13,03A,1027,0,0.805,True,0.95852,9.35376,3.16896,13.24752,25.77024,0.71168,18.80022,20.96785
A13,03A,0,512,0.758,True,0.95852,8.32949,3.8163,12.98225,25.12804,0.62847,18.23083,22.40974
A13,03A,512,512,0.78,True,0.95852,8.57794,3.57321,13.72879,25.87993,0.71026,19.70892,20.00757
A13,03A,1024,512,0.792,True,0.95852,8.37287,3.30478,13.52286,25.20051,0.72231,19.98517,19.53916
A13,03A,1027,512,0.792,True,0.95852,9.02032,3.15241,13.40833,25.58106,0.7184,19.21549,20.22845
A13,03A,0,864,0.729,True,0.95852,8.34249,3.74694,12.65832,24.74775,0.64173,17.88512,23.16818
A13,03A,512,864,0.881,True,0.95852,8.99651,3.37415,16.08007,28.45073,0.63585,19.84767,19.90127
A13,03A,1024,864,0.839,True,0.95852,9.19462,3.10395,14.37383,26.6724,0.69463,19.04142,20.76652
A13,03A,1027,864,0.839,True,0.95852,9.60207,3.10589,14.2812,26.98916,0.69238,18.69155,21.17433
A13,03B,0,0,0.862,True,0.94863,8.27806,3.63347,14.93555,26.84708,0.68661,19.71618,20.5705
A13,03B,512,0,0.864,True,0.94863,8.6866,3.56026,15.61211,27.85897,0.58421,18.81323,22.31014
A13,03B,1024,0,0.861,True,0.94863,8.52488,3.78312,14.82609,27.13409,0.61138,19.60609,20.91935
A13,03B,1027,0,0.861,True,0.94863,9.018,3.58568,14.73204,27.33573,0.60818,19.23814,21.32354
A13,03B,0,512,0.863,True,0.94863,8.75483,3.31123,15.36826,27.43431,0.66547,19.85501,20.07691
A13,03B,512,512,0.888,True,0.94863,8.25338,3.31358,16.45056,28.01751,0.54922,18.05953,24.35007
A13,03B,1024,512,0.842,True,0.94863,8.88833,3.89948,14.18646,26.97426,0.62517,19.36928,21.33778
A13,03B,1027,512,0.842,True,0.94863,9.03148,3.87815,14.17854,27.08817,0.62264,19.28414,21.45345
A13,03B,0,864,0.841,True,0.94863,9.44329,3.23963,14.73746,27.42038,0.65069,18.19479,22.39332
A13,03B,512,864,0.822,True,0.94863,10.14518,3.24615,14.25052,27.64184,0.60847,16.97875,24.99075
A13,03B,1024,864,0.806,True,0.94863,11.29501,3.47191,13.09238,27.8593,0.63206,17.34375,23.32749
A13,03B,1027,864,0.806,True,0.94863,11.24235,3.46919,13.06866,27.7802,0.63037,17.32541,23.38839
A13,03C,0,0,0.768,True,0.96094,9.31806,3.69781,13.45232,26.46819,0.64064,18.29401,22.19969
A13,03C,512,0,0.825,True,0.96094,8.49535,3.62628,15.01964,27.14128,0.67096,20.26282,19.12005
A13,03C,1024,0,0.783,True,0.96094,8.28538,3.27322,13.37328,24.93187,0.70983,20.40631,18.82333
A13,03C,1027,0,0.783,True,0.96094,8.40356,3.28749,13.36595,25.05701,0.70859,20.3477,18.88065
A13,03C,0,512,0.763,True,0.96094,9.74322,3.7131,13.05925,26.51557,0.64998,18.0486,22.05428
A13,03C,512,512,0.778,True,0.96094,8.99376,4.00151,13.43396,26.42923,0.7053,19.83303,19.90997
A13,03C,1024,512,0.814,True,0.96094,8.90179,3.42125,13.78241,26.10545,0.68567,20.25027,19.33419
A13,03C,1027,512,0.813,True,0.96094,8.81816,3.42525,13.77679,26.0202,0.68518,20.24277,19.34632
A13,03C,0,864,0.778,True,0.96094,10.27579,3.87401,13.22987,27.37967,0.65122,17.78849,22.46899
A13,03C,512,864,0.758,True,0.96094,9.07219,3.88751,12.88959,25.84929,0.7109,20.16608,19.19435
A13,03C,1024,864,0.816,True,0.96094,8.89385,3.72198,13.65846,26.2743,0.67374,20.0342,19.83599
A13,03C,1027,864,0.817,True,0.96094,8.92822,3.71508,13.65228,26.29558,0.67303,20.02705,19.85279
A13,03D,0,0,0.818,True,0.94818,8.11004,3.66998,14.03787,25.81789,0.65829,18.90502,22.13767
A13,03D,512,0,0.799,True,0.94818,8.33653,3.38528,13.85186,25.57368,0.62879,18.06017,23.78595
A13,03D,1024,0,0.744,True,0.94818,8.16563,3.82538,12.26568,24.25669,0.65611,18.93808,21.75493
A13,03D,1027,0,0.744,True,0.94818,8.23205,3.83359,12.24506,24.31069,0.65462,18.90651,21.81616
A13,03D,0,512,0.813,True,0.94818,8.91,3.69356,13.56033,26.1639,0.69259,19.25258,20.96504
A13,03D,512,512,0.766,True,0.94818,8.19754,3.7236,12.93643,24.85757,0.60682,18.00236,23.88975
A13,03D,1024,512,0.749,True,0.94818,8.44194,4.22671,11.69023,24.35887,0.65332,18.82816,22.51166
A13,03D,1027,512,0.749,True,0.94818,8.47444,4.2142,11.68262,24.37126,0.65223,18.80738,22.55447
A13,03D,0,864,0.799,True,0.94818,9.59381,4.04352,13.05577,26.6931,0.68181,19.06221,21.11177
A13,03D,512,864,0.758,True,0.94818,8.77505,4.27062,12.70626,25.75192,0.61892,18.74163,22.25422
A13,03D,1024,864,0.739,True,0.94818,9.48501,4.35338,11.72926,25.56765,0.63515,18.90313,21.43765
A13,03D,1027,864,0.739,True,0.94818,9.43262,4.31827,11.72163,25.47254,0.63346,18.88256,21.48094
A16,00A,0,0,0.525,True,0.97164,11.74127,4.41657,8.82466,24.9825,0.79134,21.34744,16.71294
A16,00A,512,0,0.52,True,0.97164,11.76883,4.10812,8.33414,24.2111,0.65112,20.41821,19.32177
A16,00A,1024,0,0.47,True,0.97164,11.22855,4.18731,7.14108,22.55693,0.63308,19.07062,19.92342
A16,00A,1027,0,0.47,True,0.97164,12.27998,4.05828,7.08655,23.42482,0.6295,17.96663,20.9392
A16,00A,0,512,0.504,True,0.97164,11.14588,4.28667,8.58713,24.01968,0.77055,21.65464,16.46852
A16,00A,512,512,0.538,True,0.97164,10.90528,4.36538,8.91212,24.18279,0.63258,20.32853,19.30307
A16,00A,1024,512,0.516,True,0.97164,10.63043,4.66251,8.19797,23.49092,0.59372,19.20331,20.78708
A16,00A,1027,512,0.516,True,0.97164,11.26877,4.51089,8.12735,23.90702,0.59008,18.11989,21.77555
A16,00A,0,864,0.578,True,0.97164,11.41077,4.6238,9.93568,25.97026,0.73515,21.09756,17.71193
A16,00A,512,864,0.549,True,0.97164,10.9805,4.19666,9.08495,24.26211,0.62957,20.17356,19.69987
A16,00A,1024,864,0.556,True,0.97164,10.4736,4.7054,9.18671,24.36572,0.59644,19.54446,20.64099
A16,00A,1027,864,0.554,True,0.97164,11.0938,4.59922,9.09974,24.79276,0.59338,18.29103,21.67472
A16,00B,0,0,0.388,True,0.97742,10.36208,3.75158,6.41085,20.52451,0.84199,22.13496,15.05762
A16,00B,512,0,0.419,True,0.97742,11.09493,4.19928,6.79194,22.08614,0.78731,21.68667,16.33387
A16,00B,1024,0,0.462,True,0.97742,10.94045,4.32941,7.18455,22.45441,0.70567,19.58635,18.89747
A16,00B,1027,0,0.463,True,0.97742,11.92693,4.13415,7.12597,23.18706,0.70129,18.46797,19.86452
A16,00B,0,512,0.517,True,0.97742,10.85327,4.81312,8.63336,24.29975,0.80048,21.31586,16.80308
A16,00B,512,512,0.523,True,0.97742,11.14587,4.64523,8.7079,24.499,0.73048,20.8669,18.01143
A16,00B,1024,512,0.466,True,0.97742,10.54534,4.24025,7.3262,22.11178,0.68224,20.27403,18.63095
A16,00B,1027,512,0.466,True,0.97742,11.50933,4.06515,7.26363,22.83811,0.6779,18.88164,19.66129
A16,00B,0,864,0.538,True,0.97742,10.68696,4.74575,9.08022,24.51293,0.81168,21.25574,16.87879
A16,00B,512,864,0.498,True,0.97742,11.02579,4.4095,8.1829,23.6182,0.76159,21.24036,17.33978
A16,00B,1024,864,0.403,True,0.97742,10.18251,3.7937,6.16106,20.13727,0.7266,21.04178,17.48093
A16,00B,1027,864,0.404,True,0.97742,11.09578,3.67557,6.11661,20.88796,0.72234,19.55696,18.44523
A16,00C,0,0,0.562,True,0.96996,14.06599,3.95203,9.48856,27.50659,0.75045,17.85376,20.06902
A16,00C,512,0,0.578,True,0.96996,12.90081,3.77454,9.3549,26.03026,0.62654,17.8902,22.18383
A16,00C,1024,0,0.498,True,0.96996,10.90513,4.24135,7.98281,23.1293,0.6142,18.09833,21.04479
A16,00C,1027,0,0.497,True,0.96996,11.48359,4.16019,7.94731,23.59109,0.61231,17.68373,21.539
A16,00C,0,512,0.522,True,0.96996,11.18059,4.10502,9.03514,24.32076,0.77583,20.41555,17.16245
A16,00C,512,512,0.58,True,0.96996,11.02499,4.49742,9.60439,25.1268,0.61371,19.97148,20.2354
A16,00C,1024,512,0.545,True,0.96996,10.24723,4.54201,8.5243,23.31354,0.58982,19.59305,20.72177
A16,00C,1027,512,0.544,True,0.96996,10.30815,4.53495,8.51384,23.35694,0.58946,19.52688,20.78831
A16,00C,0,864,0.508,True,0.96996,11.62865,3.83597,8.56073,24.02535,0.76759,19.569,18.31514
A16,00C,512,864,0.556,True,0.96996,10.5878,4.33748,9.19232,24.1176,0.63004,20.05082,19.98708
A16,00C,1024,864,0.523,True,0.96996,10.05379,4.4196,8.32428,22.79767,0.59239,19.68071,20.32146
A16,00C,1027,864,0.522,True,0.96996,9.99171,4.39168,8.30341,22.6868,0.59239,19.68373,20.30785
A16,00D,0,0,0.501,True,0.97456,11.72762,4.20564,8.2005,24.13376,0.80788,19.36817,17.77681
A16,00D,512,0,0.523,True,0.97456,11.53588,4.49757,8.19697,24.23042,0.763,19.85254,18.53809
A16,00D,1024,0,0.501,True,0.97456,10.35934,4.15972,7.67419,22.19326,0.68608,19.8285,19.35442
A16,00D,1027,0,0.502,True,0.97456,10.60858,4.07508,7.63023,22.31389,0.6835,19.29667,19.80101
A16,00D,0,512,0.51,True,0.97456,10.94144,4.25706,8.31794,23.51645,0.79733,20.38359,17.21132
A16,00D,512,512,0.43,True,0.97456,10.6001,3.91419,6.64854,21.16283,0.76833,21.44441,16.65566
A16,00D,1024,512,0.479,True,0.97456,10.2145,3.89796,7.0729,21.18537,0.70087,20.53689,18.67515
A16,00D,1027,512,0.478,True,0.97456,10.23817,3.89832,7.07757,21.21407,0.70041,20.50305,18.71396
A16,00D,0,864,0.517,True,0.97456,11.07805,4.30962,8.40029,23.78796,0.78929,19.60322,17.98925
A16,00D,512,864,0.374,True,0.97456,10.05499,3.45434,5.88636,19.39569,0.79693,22.0081,15.65447
A16,00D,1024,864,0.47,True,0.97456,9.55143,3.9073,7.13951,20.59824,0.70639,20.57221,18.43702
A16,00D,1027,864,0.472,True,0.97456,9.56057,3.92397,7.16768,20.65221,0.70534,20.55995,18.46447
A16,01A,0,0,0.536,True,0.97359,11.12231,4.51805,8.857,24.49736,0.73603,20.24573,18.99239
A16,01A,512,0,0.547,True,0.97359,11.23719,4.74182,9.67283,25.65184,0.78427,20.6831,18.01487
A16,01A,1024,0,0.578,True,0.97359,11.95366,5.16285,10.37492,27.49144,0.8301,21.1224,17.49924
A16,01A,1027,0,0.578,True,0.97359,12.84932,4.9344,10.28498,28.0687,0.82629,19.82001,18.34657
A16,01A,0,512,0.552,True,0.97359,11.24588,4.41895,9.22994,24.89477,0.7032,20.43823,19.07823
A16,01A,512,512,0.529,True,0.97359,11.51651,4.47411,8.85949,24.8501,0.72469,20.44392,18.47379
A16,01A,1024,512,0.546,True,0.97359,11.9241,4.49569,9.22151,25.6413,0.81215,21.20804,17.34023
A16,01A,1027,512,0.546,True,0.97359,12.45376,4.37425,9.18247,26.01048,0.81009,20.4162,17.82356
A16,01A,0,864,0.532,True,0.97359,11.00696,4.20891,8.81565,24.03151,0.69763,20.461,18.86614
A16,01A,512,864,0.542,True,0.97359,11.28614,4.4041,9.27872,24.96896,0.77386,20.60968,18.15385
A16,01A,1024,864,0.531,True,0.97359,12.03843,4.55341,9.13311,25.72495,0.81879,21.21517,17.32098
A16,01A,1027,864,0.531,True,0.97359,12.18748,4.53266,9.11139,25.83153,0.81765,20.97726,17.48411
A16,01B,0,0,0.516,True,0.94964,11.13864,4.45015,8.83503,24.42382,0.74491,20.28542,19.05117
A16,01B,512,0,0.516,True,0.94964,10.6154,4.69495,8.62436,23.93471,0.67212,19.44596,20.44313
A16,01B,1024,0,0.532,True,0.94964,12.37304,4.41054,9.35277,26.13634,0.67242,18.46174,21.45362
A16,01B,1027,0,0.533,True,0.94964,13.15846,4.14779,9.27305,26.5793,0.66906,17.75106,22.26238
A16,01B,0,512,0.552,True,0.94964,11.25563,4.64287,9.30766,25.20616,0.72872,19.96131,19.72364
A16,01B,512,512,0.515,True,0.94964,11.38649,4.33691,8.39993,24.12333,0.66545,18.82047,21.90716
A16,01B,1024,512,0.544,True,0.94964,11.53224,4.64231,9.69162,25.86617,0.69799,19.12522,20.4726
A16,01B,1027,512,0.545,True,0.94964,12.5944,4.49015,9.61463,26.69918,0.69468,18.09862,21.4246
A16,01B,0,864,0.549,True,0.94964,11.38347,4.33142,9.17064,24.88553,0.69862,19.85455,20.10753
A16,01B,512,864,0.513,True,0.94964,11.32615,4.28341,8.41216,24.02172,0.7112,19.22711,20.97402
A16,01B,1024,864,0.541,True,0.94964,11.21762,4.64929,9.74719,25.6141,0.68609,19.19739,20.56693
A16,01B,1027,864,0.542,True,0.94964,12.03246,4.44867,9.68198,26.16311,0.68296,18.3514,21.38151
A16,01C,0,0,0.532,True,0.9779,13.09364,3.73898,8.43314,25.26576,0.71268,17.89413,21.20217
A16,01C,512,0,0.484,True,0.9779,12.4521,3.65607,8.26711,24.37528,0.7518,18.53138,19.13845
A16,01C,1024,0,0.506,True,0.9779,12.97388,4.00352,8.54652,25.52392,0.82092,19.27249,18.23081
A16,01C,1027,0,0.506,True,0.9779,12.9483,3.99162,8.54079,25.48072,0.82074,19.26313,18.25676
A16,01C,0,512,0.526,True,0.9779,10.5808,4.10215,8.53046,23.21342,0.70892,20.24335,19.33405
A16,01C,512,512,0.504,True,0.9779,10.48607,4.21113,8.76994,23.46713,0.76469,20.97418,17.32409
A16,01C,1024,512,0.49,True,0.9779,11.4474,4.03214,8.41471,23.89426,0.82891,21.56262,16.64473
A16,01C,1027,512,0.489,True,0.9779,11.32115,3.99662,8.37731,23.69507,0.82869,21.56835,16.63675
A16,01C,0,864,0.553,True,0.9779,10.60839,4.30507,9.10684,24.02031,0.71562,20.11318,19.6872
A16,01C,512,864,0.528,True,0.9779,10.68767,4.35828,9.16389,24.20984,0.75511,20.68245,17.91508
A16,01C,1024,864,0.506,True,0.9779,11.41933,4.19656,8.7469,24.3628,0.83327,21.68217,16.51861
A16,01C,1027,864,0.507,True,0.9779,11.44349,4.20554,8.75527,24.4043,0.83266,21.67605,16.5325
A16,01D,0,0,0.54,True,0.95004,12.23074,3.90928,8.73889,24.87891,0.69639,18.6486,21.1738
A16,01D,512,0,0.535,True,0.95004,10.97284,4.47649,8.87966,24.329,0.67615,18.56989,21.69236
A16,01D,1024,0,0.531,True,0.95004,11.29178,4.60589,9.33437,25.23204,0.66762,18.65377,21.44737
A16,01D,1027,0,0.532,True,0.95004,11.67209,4.5386,9.30907,25.51976,0.66632,18.32826,21.79795
A16,01D,0,512,0.538,True,0.95004,10.94809,4.20544,8.94116,24.09469,0.69748,20.00364,19.81503
