aperio_slide,frame_id,x,y,tissue_frac,reg_ok,ecc_score,lab_L,lab_a,lab_b,lab_total,ssim,psnr,mae
A09,03C,1027,512,0.494,True,0.96468,13.57453,6.16421,7.30728,27.04602,0.6331,21.01741,18.12061
A09,03C,0,864,0.486,True,0.96468,18.9996,6.79931,6.54671,32.34562,0.79638,18.17289,19.40057
A09,03C,512,864,0.464,True,0.96468,15.19995,6.25265,6.44248,27.89508,0.86558,22.57485,15.36925
A09,03C,1024,864,0.511,True,0.96468,13.90984,6.37526,7.50777,27.79286,0.82432,22.42613,15.47428
A09,03C,1027,864,0.511,True,0.96468,13.82918,6.3587,7.50767,27.69555,0.82434,22.42988,15.46472
A09,03D,0,0,0.489,True,0.95952,15.46287,5.46201,7.28669,28.21157,0.70288,17.4415,20.69873
A09,03D,512,0,0.492,True,0.95952,14.68445,5.46195,7.88261,28.02901,0.70621,19.08951,19.01068
A09,03D,1024,0,0.516,True,0.95952,13.60351,5.44697,8.33019,27.38068,0.67037,19.93657,18.31734
A09,03D,1027,0,0.516,True,0.95952,13.54499,5.42887,8.31793,27.29178,0.66941,19.93743,18.322
A09,03D,0,512,0.489,True,0.95952,14.73363,5.76032,7.539,28.03296,0.70349,18.74318,18.90592
A09,03D,512,512,0.506,True,0.95952,13.4062,5.97162,8.08569,27.46352,0.7069,20.68583,18.25952
A09,03D,1024,512,0.536,True,0.95952,12.84567,5.96751,8.73355,27.54673,0.67495,20.99271,18.12216
A09,03D,1027,512,0.536,True,0.95952,12.82453,5.97661,8.73231,27.53345,0.67362,20.97608,18.15139
A09,03D,0,864,0.495,True,0.95952,15.47466,5.71398,7.6395,28.82813,0.68749,18.24242,19.37213
A09,03D,512,864,0.497,True,0.95952,13.49618,5.61427,7.76111,26.87156,0.77691,21.05189,17.15844
A09,03D,1024,864,0.527,True,0.95952,12.97572,5.67779,8.31079,26.9643,0.77287,21.45984,16.86094
A09,03D,1027,864,0.527,True,0.95952,12.93595,5.64406,8.30848,26.88849,0.77068,21.43214,16.89994
A09,04A,0,0,0.58,True,0.97057,10.61274,5.00195,8.72831,24.343,0.77573,20.46404,16.87208
A09,04A,512,0,0.565,True,0.97057,10.16009,5.25156,8.75469,24.16634,0.74039,21.77992,16.52854
A09,04A,1024,0,0.546,True,0.97057,9.84971,4.96303,8.34637,23.15911,0.71254,21.71429,16.5685
A09,04A,1027,0,0.546,True,0.97057,9.89982,4.96328,8.35244,23.21554,0.71189,21.60155,16.65194
A09,04A,0,512,0.579,True,0.97057,11.18303,5.01733,9.31927,25.51963,0.76983,20.20994,16.62845
A09,04A,512,512,0.566,True,0.97057,9.84522,5.20971,9.07575,24.13068,0.7828,22.12049,15.82361
A09,04A,1024,512,0.57,True,0.97057,9.4233,5.29081,9.0388,23.75291,0.73429,21.75707,16.48441
A09,04A,1027,512,0.57,True,0.97057,9.39335,5.28455,9.05728,23.73518,0.73397,21.75875,16.484
A09,04A,0,864,0.579,True,0.97057,11.17766,5.01973,9.48665,25.68403,0.76273,19.79482,17.14902
A09,04A,512,864,0.568,True,0.97057,9.96042,5.26066,9.12342,24.3445,0.76906,21.70154,16.41025
A09,04A,1024,864,0.589,True,0.97057,10.18522,5.26844,9.55101,25.00467,0.70503,20.9356,17.25163
A09,04A,1027,864,0.59,True,0.97057,10.15897,5.26421,9.55407,24.97725,0.7047,20.93195,17.25963
A09,04B,0,0,0.576,True,0.95316,10.1788,5.2791,9.12034,24.57823,0.69484,20.7871,16.89256
A09,04B,512,0,0.593,True,0.95316,10.56615,5.65098,9.67571,25.89283,0.66031,20.75483,18.02732
A09,04B,1024,0,0.597,True,0.95316,10.1215,5.88346,9.23303,25.23799,0.69485,20.55275,18.88147
A09,04B,1027,0,0.597,True,0.95316,10.11265,5.89766,9.23866,25.24897,0.69388,20.53463,18.91419
A09,04B,0,512,0.582,True,0.95316,10.26905,5.53692,9.72358,25.52954,0.68952,19.92651,17.89953
A09,04B,512,512,0.59,True,0.95316,10.53811,5.65736,9.94224,26.13771,0.65606,20.54553,18.36426
A09,04B,1024,512,0.583,True,0.95316,10.44356,5.68992,9.45119,25.58467,0.71041,21.05676,17.84297
A09,04B,1027,512,0.584,True,0.95316,10.39556,5.70227,9.45769,25.55552,0.70933,21.02289,17.89911
A09,04B,0,864,0.566,True,0.95316,11.09286,5.23725,9.44047,25.77058,0.68396,19.08319,18.5232
A09,04B,512,864,0.596,True,0.95316,11.58626,5.5203,10.28161,27.38817,0.67884,19.34434,19.08186
A09,04B,1024,864,0.596,True,0.95316,11.57026,5.64858,9.95275,27.1716,0.69486,19.16199,19.28769
A09,04B,1027,864,0.596,True,0.95316,11.53336,5.62917,9.95334,27.11587,0.69395,19.16061,19.31036
A09,04C,0,0,0.57,True,0.97137,11.50429,4.98971,9.47504,25.96904,0.76149,18.81749,18.22084
A09,04C,512,0,0.581,True,0.97137,10.18603,5.41375,9.73993,25.33971,0.73476,21.68738,16.63693
A09,04C,1024,0,0.581,True,0.97137,9.41695,5.57583,9.62496,24.61774,0.73642,21.53992,16.96369
A09,04C,1027,0,0.581,True,0.97137,9.37129,5.54495,9.62044,24.53668,0.73613,21.53712,16.96872
A09,04C,0,512,0.559,True,0.97137,11.48944,4.88951,9.41391,25.79287,0.77494,18.65286,18.3362
A09,04C,512,512,0.558,True,0.97137,9.10624,5.83438,8.84412,23.78475,0.7978,21.68636,16.48956
A09,04C,1024,512,0.584,True,0.97137,9.73819,5.61002,9.73272,25.08093,0.71563,21.35148,17.29106
A09,04C,1027,512,0.584,True,0.97137,9.75136,5.63414,9.73717,25.12267,0.71537,21.34791,17.29835
A09,04C,0,864,0.543,True,0.97137,11.58353,4.99283,8.72687,25.30323,0.80737,18.50536,17.98339
A09,04C,512,864,0.561,True,0.97137,9.01295,5.6402,8.82215,23.4753,0.81653,21.69791,16.44212
A09,04C,1024,864,0.581,True,0.97137,9.5116,5.63038,9.56477,24.70676,0.74565,21.6323,16.77376
A09,04C,1027,864,0.58,True,0.97137,9.51993,5.64352,9.56025,24.7237,0.74552,21.63318,16.77294
A09,04D,0,0,0.565,True,0.95477,10.19196,5.40724,9.54592,25.14511,0.73575,19.17726,18.65268
A09,04D,512,0,0.578,True,0.95477,10.14015,5.85065,10.20164,26.19244,0.68689,20.58088,18.27613
A09,04D,1024,0,0.596,True,0.95477,10.64473,6.20901,10.27875,27.13249,0.64578,20.79438,18.30502
A09,04D,1027,0,0.595,True,0.95477,10.6183,6.21148,10.26457,27.09435,0.64456,20.7711,18.34443
A09,04D,0,512,0.559,True,0.95477,10.71095,5.34804,9.51116,25.57015,0.69844,18.89433,18.62344
A09,04D,512,512,0.572,True,0.95477,10.21048,6.01135,10.08454,26.30636,0.67388,20.70389,17.97436
A09,04D,1024,512,0.588,True,0.95477,10.56615,5.99764,10.36787,26.93165,0.67689,21.12921,17.6015
A09,04D,1027,512,0.588,True,0.95477,10.5951,5.99468,10.35528,26.94505,0.67565,21.11519,17.62468
A09,04D,0,864,0.568,True,0.95477,11.30438,5.39203,9.65127,26.34769,0.70912,18.77026,18.52635
A09,04D,512,864,0.574,True,0.95477,10.42065,5.8589,9.97886,26.25841,0.68301,20.69096,18.00037
A09,04D,1024,864,0.585,True,0.95477,10.5456,6.03438,10.03389,26.61387,0.68738,20.91706,17.90861
A09,04D,1027,864,0.585,True,0.95477,10.55563,6.02696,10.0342,26.61679,0.68578,20.89516,17.94502
A09,05A,0,0,0.597,True,0.96116,10.47533,6.70038,10.37659,27.5523,0.71936,19.83985,19.67469
A09,05A,512,0,0.536,True,0.96116,10.76775,5.25131,8.63706,24.65612,0.7887,20.72591,17.44971
A09,05A,1024,0,0.54,True,0.96116,10.28688,5.45637,8.31905,24.0623,0.7926,21.14275,17.09725
A09,05A,1027,0,0.54,True,0.96116,10.88482,5.42272,8.29051,24.59805,0.78969,20.43977,17.55339
A09,05A,0,512,0.554,True,0.96116,10.20532,6.02337,8.93611,25.1648,0.65475,20.49438,18.15847
A09,05A,512,512,0.539,True,0.96116,10.62184,5.88994,8.85173,25.36351,0.78573,20.99135,17.02742
A09,05A,1024,512,0.597,True,0.96116,11.09727,6.13091,10.24361,27.4718,0.62625,21.03025,17.55546
A09,05A,1027,512,0.598,True,0.96116,11.16864,6.10531,10.22891,27.50286,0.62355,20.89802,17.68111
A09,05A,0,864,0.591,True,0.96116,10.99579,6.05144,10.48291,27.53014,0.62167,20.27568,18.79947
A09,05A,512,864,0.59,True,0.96116,11.59992,6.00194,10.81006,28.41193,0.71111,20.8602,17.75445
A09,05A,1024,864,0.541,True,0.96116,11.00209,6.01417,8.91803,25.93428,0.75537,20.82393,17.13098
A09,05A,1027,864,0.54,True,0.96116,10.96818,5.98385,8.90306,25.85509,0.75447,20.80877,17.14765
A09,05B,0,0,0.575,True,0.97375,10.64077,6.32393,9.19579,26.16049,0.76493,22.0352,15.7685
A09,05B,512,0,0.592,True,0.97375,11.90428,6.09415,10.24251,28.24094,0.70948,20.93804,17.56757
A09,05B,1024,0,0.442,True,0.97375,11.26788,4.81771,6.28987,22.37545,0.84627,21.24127,16.34212
A09,05B,1027,0,0.442,True,0.97375,11.3624,4.81716,6.28448,22.46404,0.84507,21.12744,16.44417
A09,05B,0,512,0.559,True,0.97375,10.68675,6.45521,9.35551,26.49747,0.70615,21.93658,15.7951
A09,05B,512,512,0.571,True,0.97375,11.92624,6.492,10.24754,28.66578,0.63401,21.08318,17.12408
A09,05B,1024,512,0.551,True,0.97375,11.50982,6.03112,9.57357,27.11451,0.73745,21.37366,16.46121
A09,05B,1027,512,0.551,True,0.97375,11.53054,6.04735,9.55749,27.13538,0.7364,21.33463,16.51008
A09,05B,0,864,0.462,True,0.97375,10.53196,6.15184,6.74437,23.42817,0.84411,20.89004,15.31946
A09,05B,512,864,0.457,True,0.97375,12.13389,5.02088,7.42484,24.57961,0.74429,19.43118,17.28419
A09,05B,1024,864,0.492,True,0.97375,13.06115,4.9681,7.98772,26.01697,0.81585,19.3275,17.44244
A09,05B,1027,864,0.491,True,0.97375,13.01174,4.95765,7.9824,25.95179,0.81542,19.32104,17.46216
A09,05C,0,0,0.508,True,0.96362,11.23873,5.54045,9.24163,26.02081,0.63413,19.46211,18.37287
A09,05C,512,0,0.54,True,0.96362,10.97134,6.12572,8.8769,25.97396,0.82567,21.34433,16.5664
A09,05C,1024,0,0.564,True,0.96362,10.92604,6.09577,9.42629,26.44809,0.7068,20.99522,17.61349
A09,05C,1027,0,0.564,True,0.96362,10.84437,6.08835,9.41427,26.34699,0.70395,20.97147,17.65416
A09,05C,0,512,0.548,True,0.96362,11.85232,5.9362,9.84891,27.63743,0.62734,19.52417,18.489
A09,05C,512,512,0.52,True,0.96362,10.70312,6.09443,8.00093,24.79847,0.77894,20.49418,18.04164
A09,05C,1024,512,0.618,True,0.96362,11.64082,6.13718,11.19363,28.97162,0.65255,20.86953,18.12773
A09,05C,1027,512,0.618,True,0.96362,11.6656,6.1406,11.19922,29.00541,0.65052,20.85958,18.14644
A09,05C,0,864,0.606,True,0.96362,12.92313,6.1101,10.93505,29.96828,0.58917,19.05756,19.70298
A09,05C,512,864,0.599,True,0.96362,12.03984,6.27561,10.47263,28.78808,0.77832,21.33856,17.05518
A09,05C,1024,864,0.605,True,0.96362,11.56351,6.03018,10.80351,28.39719,0.67893,20.89454,17.99506
A09,05C,1027,864,0.604,True,0.96362,11.50723,6.0053,10.78156,28.29409,0.6767,20.87974,18.01965
A09,05D,0,0,0.535,True,0.97582,10.80549,5.56324,8.77356,25.1423,0.82637,21.85103,15.8144
A09,05D,512,0,0.464,True,0.97582,11.22821,5.09853,7.61364,23.94038,0.79961,20.85685,16.81439
A09,05D,1024,0,0.436,True,0.97582,11.60031,5.85297,7.00229,24.45558,0.83601,21.88442,15.37765
A09,05D,1027,0,0.436,True,0.97582,11.54136,5.83583,6.98507,24.36226,0.83486,21.85554,15.413
A09,05D,0,512,0.596,True,0.97582,11.49462,6.98723,11.07139,29.55324,0.68972,21.63591,16.72435
A09,05D,512,512,0.588,True,0.97582,12.27686,6.67761,10.95888,29.91334,0.6724,20.7988,17.83061
A09,05D,1024,512,0.565,True,0.97582,12.51815,5.95303,9.77891,28.25009,0.75001,21.37996,16.81188
A09,05D,1027,512,0.566,True,0.97582,12.50003,5.97307,9.78999,28.26309,0.74809,21.37315,16.82613
A09,05D,0,864,0.582,True,0.97582,11.39363,6.78653,10.25889,28.43905,0.73374,21.57825,16.59222
A09,05D,512,864,0.588,True,0.97582,12.19548,6.38437,10.93678,29.51664,0.73008,21.12572,17.14548
A09,05D,1024,864,0.626,True,0.97582,13.10936,6.42683,11.56361,31.09981,0.7384,21.05651,17.55276
A09,05D,1027,864,0.626,True,0.97582,13.05,6.38927,11.54926,30.98853,0.73626,21.03036,17.59407
A13,00A,0,0,0.53,True,0.94181,10.89506,6.01277,7.26239,24.17022,0.44382,19.1882,20.53514
A13,00A,512,0,0.639,True,0.94181,12.42627,5.94904,9.8599,28.23521,0.63688,20.10708,19.17592
A13,00A,1024,0,0.726,True,0.94181,10.78109,5.65516,11.35262,27.78887,0.62684,19.47577,20.39026
A13,00A,1027,0,0.726,True,0.94181,11.77756,5.43898,11.28102,28.49756,0.62267,18.45802,21.29938
A13,00A,0,512,0.653,True,0.94181,11.31741,6.18182,9.55579,27.05501,0.45457,18.22442,23.23764
A13,00A,512,512,0.666,True,0.94181,11.66829,5.64362,9.85291,27.16482,0.59308,19.87952,19.82415
A13,00A,1024,512,0.693,True,0.94181,10.74132,4.86573,10.603,26.21005,0.71457,20.76682,18.16914
A13,00A,1027,512,0.694,True,0.94181,11.25294,4.72605,10.53792,26.51691,0.71203,20.09783,18.67057
A13,00A,0,864,0.644,True,0.94181,10.81995,5.38829,9.2608,25.46905,0.49326,18.66171,21.91032
A13,00A,512,864,0.722,True,0.94181,11.71156,5.37493,10.76678,27.85327,0.64633,20.79446,18.04185
A13,00A,1024,864,0.735,True,0.94181,10.73373,4.78228,11.04403,26.56005,0.69836,20.70615,18.46707
A13,00A,1027,864,0.736,True,0.94181,10.93122,4.74122,11.02516,26.69761,0.69603,20.47759,18.65747
A13,00B,0,0,0.716,True,0.94722,10.53098,6.1697,11.24384,27.94453,0.60009,20.06391,19.77583
A13,00B,512,0,0.676,True,0.94722,11.03601,6.17019,11.1464,28.35261,0.55124,18.98465,22.0309
A13,00B,1024,0,0.639,True,0.94722,11.64398,6.63221,9.34171,27.6179,0.49945,20.32782,19.20451
A13,00B,1027,0,0.639,True,0.94722,11.60021,6.62472,9.3185,27.54342,0.49693,20.31235,19.23811
A13,00B,0,512,0.751,True,0.94722,10.93642,4.99463,11.27442,27.20546,0.69192,20.77834,18.3941
A13,00B,512,512,0.735,True,0.94722,11.24136,5.68961,11.37368,28.30464,0.54897,19.74794,20.12274
A13,00B,1024,512,0.694,True,0.94722,11.41439,6.17384,10.82,28.40823,0.491,19.75037,20.66402
A13,00B,1027,512,0.693,True,0.94722,11.41695,6.18235,10.80114,28.40044,0.48926,19.74205,20.6806
A13,00B,0,864,0.724,True,0.94722,10.43272,4.5757,10.64239,25.65081,0.70326,20.59346,18.63171
A13,00B,512,864,0.724,True,0.94722,10.89117,5.26012,10.88879,27.04007,0.57146,19.2135,20.81966
A13,00B,1024,864,0.739,True,0.94722,11.6138,5.72754,11.35447,28.69581,0.46351,18.61127,22.2441
A13,00B,1027,864,0.739,True,0.94722,11.60435,5.73812,11.35587,28.69834,0.46155,18.59007,22.29421
A13,00C,0,0,0.705,True,0.94556,13.19072,4.82704,10.50587,28.52363,0.49646,16.31872,25.84217
A13,00C,512,0,0.754,True,0.94556,12.61474,4.90002,11.8418,29.35656,0.66813,18.69073,20.50121
A13,00C,1024,0,0.751,True,0.94556,11.16263,4.35123,11.69719,27.21105,0.68167,20.00649,18.66958
A13,00C,1027,0,0.752,True,0.94556,11.05632,4.36659,11.70504,27.12795,0.67944,19.99161,18.71151
A13,00C,0,512,0.726,True,0.94556,11.07897,4.67213,11.1815,26.93259,0.51737,17.42259,24.17279
A13,00C,512,512,0.76,True,0.94556,10.97138,4.53014,12.64632,28.14784,0.64317,19.32736,20.93283
A13,00C,1024,512,0.775,True,0.94556,10.17686,4.12278,12.49441,26.79406,0.7083,20.47913,18.74119
A13,00C,1027,512,0.775,True,0.94556,10.12267,4.13809,12.4756,26.73636,0.70725,20.46014,18.76982
A13,00C,0,864,0.71,True,0.94556,11.39618,4.125,10.96005,26.48123,0.53389,17.2007,24.36854
A13,00C,512,864,0.763,True,0.94556,10.66902,4.3267,12.71185,27.70758,0.63366,19.51805,20.62963
A13,00C,1024,864,0.784,True,0.94556,10.0201,3.97889,12.8026,26.80159,0.69612,20.18331,19.22677
